province,date,tempMax,tempMin,tempAvg,precipitation,humidity,source,year,month,day
"bangkok","2020-06-28",32.20,25.40,28.80,1.30,72.70,"open-meteo",2020,06,28
"bangkok","2020-06-29",32.40,26.00,29.20,2.80,76.60,"open-meteo",2020,06,29
"bangkok","2020-06-30",31.90,26.60,29.25,3.00,77.13,"open-meteo",2020,06,30
"bangkok","2020-07-01",31.40,26.10,28.75,0.10,69.17,"open-meteo",2020,07,01
"bangkok","2020-07-02",32.80,26.40,29.60,6.10,82.60,"open-meteo",2020,07,02
"bangkok","2020-07-03",30.50,26.20,28.35,10.80,84.47,"open-meteo",2020,07,03
"bangkok","2020-07-04",30.00,26.00,28.00,1.10,73.30,"open-meteo",2020,07,04
"bangkok","2020-07-05",32.80,25.10,28.95,0.80,70.98,"open-meteo",2020,07,05
"bangkok","2020-07-06",33.70,25.30,29.50,2.50,75.25,"open-meteo",2020,07,06
"bangkok","2020-07-07",32.20,25.90,29.05,4.40,81.63,"open-meteo",2020,07,07
"bangkok","2020-07-08",32.00,25.70,28.85,0.70,70.82,"open-meteo",2020,07,08
"bangkok","2020-07-09",33.50,25.90,29.70,2.10,73.75,"open-meteo",2020,07,09
"bangkok","2020-07-10",34.00,26.00,30.00,3.20,76.60,"open-meteo",2020,07,10
"bangkok","2020-07-11",34.90,25.60,30.25,0.60,68.42,"open-meteo",2020,07,11
"bangkok","2020-07-12",32.50,26.50,29.50,2.00,73.75,"open-meteo",2020,07,12
"bangkok","2020-07-13",31.70,25.90,28.80,18.30,83.80,"open-meteo",2020,07,13
"bangkok","2020-07-14",30.40,24.90,27.65,3.80,81.93,"open-meteo",2020,07,14
"bangkok","2020-07-15",31.90,26.00,28.95,13.40,83.58,"open-meteo",2020,07,15
"bangkok","2020-07-16",31.60,25.10,28.35,6.60,84.47,"open-meteo",2020,07,16
"bangkok","2020-07-17",32.80,25.60,29.20,0.70,70.30,"open-meteo",2020,07,17
"bangkok","2020-07-18",33.30,25.80,29.55,0.10,67.98,"open-meteo",2020,07,18
"bangkok","2020-07-19",32.70,27.10,29.90,1.90,72.85,"open-meteo",2020,07,19
"bangkok","2020-07-20",31.90,26.60,29.25,2.60,75.92,"open-meteo",2020,07,20
"bangkok","2020-07-21",31.10,26.20,28.65,15.30,84.03,"open-meteo",2020,07,21
"bangkok","2020-07-22",31.50,25.20,28.35,2.40,76.67,"open-meteo",2020,07,22
