province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"prachuap-khiri-khan","2023-05",30.73,2.29,71.47,85,2023,05
"prachuap-khiri-khan","2023-06",29.31,2.93,74.84,88,2023,06
"prachuap-khiri-khan","2023-07",27.92,8.70,79.46,86,2023,07
"prachuap-khiri-khan","2023-08",29.07,2.57,73.84,93,2023,08
"prachuap-khiri-khan","2023-09",28.17,5.35,80.60,87,2023,09
"prachuap-khiri-khan","2023-10",27.01,8.18,84.47,82,2023,10
"prachuap-khiri-khan","2023-11",26.39,4.49,78.86,91,2023,11
"prachuap-khiri-khan","2023-12",26.72,1.19,73.88,97,2023,12
"prachuap-khiri-khan","2024-01",26.73,1.97,73.69,96,2024,01
"prachuap-khiri-khan","2024-02",27.67,0.63,72.36,97,2024,02
"prachuap-khiri-khan","2024-03",28.84,0.93,71.27,96,2024,03
"prachuap-khiri-khan","2024-04",30.67,0.54,67.49,92,2024,04
"prachuap-khiri-khan","2024-05",29.67,5.84,75.80,86,2024,05
"prachuap-khiri-khan","2024-06",28.86,4.14,76.38,86,2024,06
"prachuap-khiri-khan","2024-07",27.43,7.27,81.83,85,2024,07
"prachuap-khiri-khan","2024-08",28.66,5.37,79.67,86,2024,08
"prachuap-khiri-khan","2024-09",27.88,5.09,79.07,88,2024,09
"prachuap-khiri-khan","2024-10",27.26,6.43,81.24,87,2024,10
"prachuap-khiri-khan","2024-11",27.04,3.82,77.90,91,2024,11
"prachuap-khiri-khan","2024-12",27.09,1.91,73.41,97,2024,12
"prachuap-khiri-khan","2025-01",26.05,0.11,73.25,100,2025,01
"prachuap-khiri-khan","2025-02",26.74,2.99,75.80,94,2025,02
"prachuap-khiri-khan","2025-03",28.15,1.46,72.67,96,2025,03
"prachuap-khiri-khan","2025-04",28.61,3.97,75.47,92,2025,04
"prachuap-khiri-khan","2025-05",28.64,5.83,78.54,86,2025,05
"prachuap-khiri-khan","2025-06",28.89,2.55,73.98,92,2025,06
"prachuap-khiri-khan","2025-07",28.65,2.74,74.67,91,2025,07
"prachuap-khiri-khan","2025-08",28.19,4.83,77.64,87,2025,08
"prachuap-khiri-khan","2025-09",27.32,4.53,80.00,88,2025,09
"prachuap-khiri-khan","2025-10",28.05,4.42,78.36,90,2025,10
"prachuap-khiri-khan","2025-11",26.19,4.22,79.34,91,2025,11
"chiang-mai","2020-01",22.62,0.01,78.11,98,2020,01
